student_id,rank,course_id,success_probability
1,1,23,0.8234
1,2,41,0.7856
1,3,9,0.7234
2,1,38,0.8123
2,2,47,0.7945
2,3,15,0.7812
3,1,23,0.8045
3,2,41,0.7834
3,3,28,0.7567
4,1,19,0.7923
4,2,31,0.7456
4,3,12,0.7234
5,1,47,0.8234
5,2,38,0.7945
5,3,15,0.7678
6,1,23,0.8123
6,2,9,0.7834
6,3,41,0.7612
7,1,38,0.8045
7,2,47,0.7867
7,3,12,0.7534
8,1,15,0.8234
8,2,28,0.7945
8,3,9,0.7678
9,1,23,0.8156
9,2,41,0.7890
9,3,38,0.7567
10,1,47,0.8267
10,2,12,0.7834
10,3,31,0.7612
15,1,23,0.8234
15,2,41,0.7856
15,3,9,0.7234
20,1,38,0.8145
20,2,47,0.7923
20,3,15,0.7812
45,1,23,0.8345
45,2,38,0.7890
45,3,9,0.7456
50,1,47,0.8234
50,2,12,0.7945
50,3,31,0.7678
100,1,23,0.8123
100,2,41,0.7834
100,3,28,0.7567
128,1,23,0.8123
128,2,41,0.7834
128,3,38,0.7567
200,1,38,0.8045
200,2,47,0.7867
200,3,15,0.7534
250,1,23,0.8234
250,2,9,0.7945
250,3,41,0.7678
312,1,23,0.9156
312,2,41,0.8234
312,3,38,0.7890
400,1,47,0.8267
400,2,12,0.7834
400,3,31,0.7612
467,1,38,0.8934
467,2,15,0.8567
467,3,23,0.8234
500,1,23,0.8123
500,2,41,0.7834
500,3,28,0.7567
600,1,47,0.8345
600,2,12,0.7956
600,3,9,0.7678
678,1,41,0.8867
678,2,38,0.8234
678,3,23,0.7956
750,1,23,0.8234
750,2,47,0.7945
750,3,15,0.7678
823,1,47,0.7234
823,2,38,0.6845
823,3,12,0.6567
850,1,47,0.9123
850,2,38,0.8967
850,3,15,0.8734
